cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1621-8/00,ALTO,09.09.02,ID2-09,11,5,1|3|4|7|8|10
1621-8/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1622-6/01,ALTO,09.09.02,ID2-09,11,5,1|3|4|7|8|10
1622-6/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1622-6/02,ALTO,09.09.02,ID2-09,2|3,18|19,1|3|4|7|8|10
1622-6/02,BAIXO RISCO,07.09.08,nR2-09,2|3,18|19,1|3|4|7|10
1622-6/02,BAIXO RISCO,07.12.13,nR1-12,2|3,18|19,1|30
1622-6/99,ALTO,09.09.02,ID2-09,2|3,18|19,1|3|4|7|8|10
1622-6/99,BAIXO RISCO,07.09.08,nR2-09,2|3,18|19,1|3|4|7|10
1622-6/99,BAIXO RISCO,07.12.13,nR1-12,2|3,18|19,1|30
1623-4/00,ALTO,09.09.04,ID2-09,2|3,18|19,1|3|4|7|8|10
1623-4/00,BAIXO RISCO,07.09.08,nR2-09,2|3,18|19,1|3|4|7|10
1623-4/00,BAIXO RISCO,07.12.13,nR1-12,2|3,18|19,1|30
1629-3/01,ALTO,09.09.03,ID2-09,11,1,1|3|4|7|8|10
1629-3/01,MÉDIO RISCO,07.09.08,nR2-09,11,1,1|3|4|7|10
1629-3/01,MÉDIO RISCO,07.09.07,nR1-09,11,1,1|3|4
1629-3/01,BAIXO RISCO,07.12.13,nR1-12,11,1,1|30
1629-3/02,ALTO,09.09.05,ID2-09,11,1,1|3|4|7|8|10
1629-3/02,ALTO,09.09.06,ID2-09,11,1,1|3|4|7|8|10
1629-3/02,MÉDIO RISCO,07.09.01,nR1-09,11,1,1|3|4
1629-3/02,BAIXO RISCO,07.12.13,nR1-12,11,1,1|30
1710-9/00,ALTO,09.04.02,ID3-04,11,5,1|3|4|7|8|10
1710-9/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1721-4/00,ALTO,09.16.02,ID3-16,11,5,1|3|4|7|8|10
1721-4/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1722-2/00,ALTO,09.16.02,ID3-16,11,5,1|3|4|7|8|10
1722-2/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1731-1/00,MÉDIO RISCO,09.16.01,ID1-16,11,22,1|3|4|7|8|10
